,Real_time,frame,gazeX_1,gazeY_1,pdl_1,pdr_1,gazeX_2,gazeY_2,pdl_2,pdr_2,jva10,jva50,jva100,jva150,jva200,AOI_1,AOI_2,leader10,leader50,leader100,leader150,leader200,jva100_lag0,speech_l,speech_r,EDA_x,EDA_y,normalized EDA_x,normalized EDA_y,DA,IDM,SM,PC
64,2017-08-08 15:31:14.360000,384,522.6905,2692.8772,2.44, 2.57,517.4067,2629.0918,2.85, 2.81,0,0,0,0,0,0.0,1.0,0,0,0,0,0,1,1,1,0.99587,0.146072,-0.563862992086,0.429862993583,0.360833333333,0.164062019244,1.20738259917,0.405452703826
65,2017-08-08 15:31:14.600000,390,520.28235,2679.202,2.42, 2.56,521.7648,2577.8533,2.91, 2.86,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,1,0.993308,0.148634,-0.566660989285,0.49043652826800005,0.361666666667,0.164654001036,1.20777072572,0.405579342321
66,2017-08-08 15:31:14.840000,396,537.0528,2641.8591,2.4, 2.55,527.28986,2574.5251,2.9, 2.86,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.993308,0.151197,-0.566660989285,0.55103370602,0.361666666667,0.164663248883,1.2081588522799998,0.405276833929
67,2017-08-08 15:31:15.080000,402,536.26697,2653.9124,2.39, 2.56,521.1,2562.2483,2.94, 2.87,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.993308,0.148634,-0.566660989285,0.49043652826800005,0.361666666667,0.164667833401,1.2084448374099999,0.40498789266999996
68,2017-08-08 15:31:15.320000,408,537.6827400000002,2656.2268,2.41, 2.56,696.5747700000003,2506.8523,2.82, 2.82,0,1,1,1,1,1.0,1.0,0,1,1,1,1,0,1,1,0.99587,0.148634,-0.563862992086,0.49043652826800005,0.361666666667,0.164764125964,1.20880772499,0.404780783225
69,2017-08-08 15:31:15.560000,414,738.14923,2519.8196,2.46, 2.61,724.6669,2486.481,2.71, 2.77,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,0,1,0.99587,0.14735299999999998,-0.563862992086,0.460149760926,0.361666666667,0.164768789293,1.2091465394299998,0.40472093567199996
70,2017-08-08 15:31:15.800000,420,678.3865400000002,2506.2524,2.46, 2.58,725.9789999999997,2494.036,2.68, 2.76,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.997151,0.148634,-0.562463993487,0.49043652826800005,0.360833333333,0.16488373880999999,1.2095634033700002,0.404550941337
71,2017-08-08 15:31:16.040000,426,599.4099,2620.4656,2.39, 2.56,723.95776,2486.0908,2.69, 2.75,0,0,1,1,1,1.0,1.0,0,0,1,1,1,0,1,1,0.992027,0.148634,-0.568059987885,0.49043652826800005,0.360833333333,0.16486974882400002,1.20995735999,0.40428850849500003
72,2017-08-08 15:31:16.280000,432,597.1016,2630.9128,2.42, 2.57,628.2079,2451.0977,2.91, 2.79,0,0,1,1,1,1.0,1.0,0,0,1,1,1,0,1,1,0.994589,0.148634,-0.565261990686,0.49043652826800005,0.360833333333,0.164874415793,1.2103431548799999,0.404026137099
73,2017-08-08 15:31:16.520000,438,605.8762,2597.6177,2.4, 2.59,647.7348599999998,2485.8232,2.79, 2.71,0,1,1,1,1,1.0,1.0,0,1,1,1,1,0,1,1,0.994589,0.143509,-0.565261990686,0.369265815832,0.360833333333,0.164576211448,1.21075770595,0.403699952902
74,2017-08-08 15:31:16.760000,444,599.29645,2609.093,2.39, 2.59,687.44495,2574.3967,2.73, 2.82,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,1,1,0.99587,0.148634,-0.563862992086,0.49043652826800005,0.36,0.164287333761,1.2112456422600002,0.40389377631800005
75,2017-08-08 15:31:17,450,557.3054,2716.1785,2.49, 2.59,722.75354,2497.647,2.68, 2.73,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,1,0.993308,0.146072,-0.566660989285,0.429862993583,0.36,0.164177047572,1.21161319408,0.40372335076099997
76,2017-08-08 15:31:17.240000,456,543.59607,2686.9988,2.44, 2.58,734.92566,2502.0386,2.72, 2.73,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,1,0.993308,0.148634,-0.566660989285,0.49043652826800005,0.36,0.164177126382,1.21207938983,0.403536387458
77,2017-08-08 15:31:17.480000,462,669.42145,2559.583,2.48, 2.57,724.69025,2486.8579999999997,2.77, 2.71,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,0,0.994589,0.14991600000000002,-0.565261990686,0.5207469386770001,0.359166666667,0.164484736195,1.21239411234,0.40350760733400004
